apple n.苹果
banana n.香蕉
orange n.橙子
grape n.葡萄
watermelon n.西瓜
strawberry n.草莓
pineapple n.菠萝
peach n.桃子
pear n.梨
cherry n.樱桃
mango n.芒果
lemon n.柠檬
coconut n.椰子
kiwi n.猕猴桃
plum n.李子
blueberry n.蓝莓
raspberry n.覆盆子
blackberry n.黑莓
apricot n.杏子
fig n.无花果
book n.书
pen n.笔
computer n.电脑
phone n.电话
table n.桌子
chair n.椅子
door n.门
window n.窗户
car n.汽车
bicycle n.自行车
train n.火车
airplane n.飞机
boat n.船
house n.房子
garden n.花园
school n.学校
hospital n.医院
restaurant n.餐厅
hotel n.酒店
park n.公园
beach n.海滩
mountain n.山
river n.河
lake n.湖
ocean n.海洋
forest n.森林
flower n.花
tree n.树
grass n.草
bird n.鸟
dog n.狗
cat n.猫
horse n.马
elephant n.大象
tiger n.老虎
lion n.狮子
bear n.熊
rabbit n.兔子
fish n.鱼
butterfly n.蝴蝶
sun n.太阳
moon n.月亮
star n.星星
cloud n.云
rain n.雨
snow n.雪
wind n.风
fire n.火
water n.水
earth n.地球
sky n.天空
weather n.天气
season n.季节
spring n.春天
summer n.夏天
autumn n.秋天
winter n.冬天
happy adj.快乐的
sad adj.悲伤的
angry adj.生气的
excited adj.兴奋的
tired adj.累的
hungry adj.饥饿的
thirsty adj.渴的
cold adj.冷的
hot adj.热的
warm adj.温暖的
cool adj.凉爽的
beautiful adj.美丽的
ugly adj.丑陋的
big adj.大的
small adj.小的
tall adj.高的
short adj.矮的
long adj.长的
wide adj.宽的
narrow adj.窄的
fast adj.快的
slow adj.慢的
easy adj.容易的
difficult adj.困难的
good adj.好的
bad adj.坏的
new adj.新的
old adj.旧的
young adj.年轻的
clean adj.干净的
dirty adj.脏的
bright adj.明亮的
dark adj.黑暗的
heavy adj.重的
light adj.轻的
soft adj.柔软的
hard adj.硬的
strong adj.强壮的
weak adj.虚弱的
healthy adj.健康的
sick adj.生病的
rich adj.富有的
poor adj.贫穷的
expensive adj.昂贵的
cheap adj.便宜的
important adj.重要的
interesting adj.有趣的
boring adj.无聊的
delicious adj.美味的
terrible adj.糟糕的
wonderful adj.精彩的
amazing adj.令人惊奇的
fantastic adj.极好的
excellent adj.优秀的
perfect adj.完美的
normal adj.正常的
special adj.特别的
different adj.不同的
same adj.相同的
first adj.第一的
last adj.最后的
next adj.下一个
previous adj.上一个
early adj.早的
late adj.晚的
right adj.正确的
wrong adj.错误的
true adj.真实的
false adj.虚假的
real adj.真实的
imaginary adj.想象的
possible adj.可能的
impossible adj.不可能的
necessary adj.必要的
unnecessary adj.不必要的
successful adj.成功的
unsuccessful adj.不成功的
popular adj.受欢迎的
unpopular adj.不受欢迎的
famous adj.著名的
unknown adj.未知的
common adj.常见的
rare adj.罕见的
simple adj.简单的
complex adj.复杂的
safe adj.安全的
dangerous adj.危险的
comfortable adj.舒适的
uncomfortable adj.不舒服的
friendly adj.友好的
unfriendly adj.不友好的
polite adj.礼貌的
rude adj.粗鲁的
kind adj.善良的
cruel adj.残酷的
brave adj.勇敢的
afraid adj.害怕的
confident adj.自信的
nervous adj.紧张的
calm adj.冷静的
worried adj.担心的
surprised adj.惊讶的
disappointed adj.失望的
satisfied adj.满意的
proud adj.骄傲的
ashamed adj.羞愧的
jealous adj.嫉妒的
generous adj.慷慨的
selfish adj.自私的
honest adj.诚实的
dishonest adj.不诚实的
loyal adj.忠诚的
disloyal adj.不忠诚的
patient adj.耐心的
impatient adj.不耐心的
careful adj.小心的
careless adj.粗心的
responsible adj.负责任的
irresponsible adj.不负责任的
intelligent adj.聪明的
stupid adj.愚蠢的
wise adj.明智的
foolish adj.愚蠢的
creative adj.有创造力的
boring adj.乏味的
active adj.活跃的
lazy adj.懒惰的
busy adj.忙碌的
free adj.空闲的
full adj.满的
empty adj.空的
open adj.开的
closed adj.关的
available adj.可用的
unavailable adj.不可用的
present adj.出席的
absent adj.缺席的
alive adj.活着的
dead adj.死的
awake adj.醒着的
asleep adj.睡着的
married adj.已婚的
single adj.单身的
employed adj.被雇用的
unemployed adj.失业的
educated adj.受过教育的
uneducated adj.未受教育的
trained adj.受过训练的
untrained adj.未受训练的
experienced adj.有经验的
inexperienced adj.无经验的
skilled adj.熟练的
unskilled adj.不熟练的
talented adj.有天赋的
untalented adj.无天赋的
gifted adj.有天赋的
ungifted adj.无天赋的
able adj.能够的
unable adj.不能的
capable adj.有能力的
incapable adj.无能力的
powerful adj.强大的
powerless adj.无力的
strong adj.强壮的
weak adj.虚弱的
fit adj.健康的
unfit adj.不健康的
well adj.健康的
ill adj.生病的
sick adj.生病的
healthy adj.健康的
unhealthy adj.不健康的
run v.跑
walk v.走
jump v.跳
swim v.游泳
fly v.飞
drive v.驾驶
ride v.骑
climb v.爬
fall v.落下
rise v.上升
sit v.坐
stand v.站
lie v.躺
sleep v.睡觉
wake v.醒来
eat v.吃
drink v.喝
cook v.烹饪
bake v.烘焙
boil v.煮沸
fry v.油炸
cut v.切
chop v.剁
slice v.切片
peel v.削皮
wash v.洗
clean v.打扫
dust v.除尘
sweep v.扫
mop v.拖地
vacuum v.用吸尘器吸
read v.读
write v.写
draw v.画
paint v.绘画
sing v.唱歌
dance v.跳舞
play v.玩
work v.工作
study v.学习
teach v.教
learn v.学习
think v.思考
know v.知道
understand v.理解
remember v.记住
forget v.忘记
believe v.相信
doubt v.怀疑
hope v.希望
wish v.希望
want v.想要
need v.需要
like v.喜欢
love v.爱
hate v.讨厌
enjoy v.享受
prefer v.更喜欢
choose v.选择
decide v.决定
plan v.计划
try v.尝试
attempt v.尝试
succeed v.成功
fail v.失败
win v.赢
lose v.输
compete v.竞争
fight v.战斗
argue v.争论
discuss v.讨论
talk v.谈话
speak v.说话
say v.说
tell v.告诉
ask v.问
answer v.回答
listen v.听
hear v.听到
see v.看见
watch v.观看
look v.看
observe v.观察
notice v.注意到
find v.找到
search v.搜索
discover v.发现
explore v.探索
travel v.旅行
visit v.参观
arrive v.到达
leave v.离开
go v.去
come v.来
return v.返回
stay v.停留
live v.居住
move v.移动
change v.改变
become v.变成
grow v.成长
develop v.发展
improve v.改善
progress v.进步
advance v.前进
retreat v.撤退
attack v.攻击
defend v.防御
protect v.保护
save v.拯救
help v.帮助
support v.支持
assist v.协助
encourage v.鼓励
motivate v.激励
inspire v.启发
create v.创造
build v.建造
make v.制作
produce v.生产
manufacture v.制造
construct v.建造
destroy v.破坏
break v.打破
damage v.损坏
repair v.修理
fix v.修理
maintain v.维护
keep v.保持
hold v.握住
carry v.携带
bring v.带来
take v.拿走
give v.给予
send v.发送
receive v.接收
buy v.买
sell v.卖
pay v.支付
cost v.花费
worth v.值得
value v.重视
price v.定价
offer v.提供
accept v.接受
refuse v.拒绝
reject v.拒绝
agree v.同意
disagree v.不同意
approve v.批准
disapprove v.不批准
allow v.允许
permit v.允许
forbid v.禁止
prevent v.防止
stop v.停止
start v.开始
begin v.开始
continue v.继续
finish v.完成
end v.结束
complete v.完成
achieve v.实现
accomplish v.完成
reach v.到达
arrive v.到达
approach v.接近
enter v.进入
exit v.退出
escape v.逃跑
avoid v.避免
face v.面对
meet v.遇见
greet v.问候
welcome v.欢迎
introduce v.介绍
present v.介绍
show v.展示
display v.展示
demonstrate v.演示
explain v.解释
describe v.描述
define v.定义
name v.命名
call v.称呼
label v.贴标签
mark v.标记
sign v.签名
write v.写
record v.记录
document v.记录
report v.报告
announce v.宣布
declare v.宣布
state v.陈述
claim v.声称
assert v.断言
